model_name,source_domain,primary_scale,survival_body,energy,water,food,health,habitat,infrastructure,mobility,materials,ecology,biodiversity,economy,work,value_creation,entrepreneurship,finance,governance,law_justice,security,community,relationships,family,education,culture,art,media,communication,knowledge,science,technology,ai_computation,ethics,meaning,spirituality,consciousness,future_foresight,planetary_direction,civilizational_purpose,notes
Maslow — Hierarchy of Needs,Human Development / Consciousness / Psychology,Individual (with implications for Community and So,2,1,2,2,2,2,0,0,0,0,0,1,1,1,0,1,0,1,2,2,2,2,1,1,1,0,1,1,0,0,2,1,2,2,2,0,0,0,
Chakra System — 7 Chakras,Human Development / Consciousness / Psychology,"Individual and Spiritual, with profound implicatio",2,2,1,1,2,0,0,0,0,1,0,0,1,1,0,0,0,0,2,1,2,1,0,0,1,0,2,2,0,0,2,1,2,2,2,1,0,0,
Spiral Dynamics — Graves / Beck / Cowan,Human Development / Consciousness / Psychology,Individual / Society / Organization / Civilization,2,1,1,2,1,1,1,0,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,
Integral Theory — Ken Wilber / AQAL,Human Development / Consciousness / Psychology,All (Individual / Community / Society / Civilizati,1,1,0,0,2,1,2,1,1,2,1,2,2,2,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,
Jungian Archetypes,Human Development / Consciousness / Psychology,Individual / Spiritual (with strong implications f,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,2,2,1,1,0,0,0,0,1,0,2,2,1,0,1,
Campbell — Hero's Journey,Human Development / Consciousness / Psychology,Individual / Spiritual,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,2,2,1,1,2,0,0,1,1,2,2,2,0,0,1,
Big Five Personality Model (OCEAN),Human Development / Consciousness / Psychology,Individual.,0,1,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,2,1,1,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,
Kegan — Orders of Consciousness,Human Development / Consciousness / Psychology,Individual / Organization,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,2,1,0,0,2,2,0,0,0,1,2,1,2,0,0,0,
Loevinger / Cook-Greuter — Ego Development Theory,Human Development / Consciousness / Psychology,Individual (with implications for Organizational a,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,0,0,1,2,0,0,2,1,2,2,2,1,0,0,
Self-Determination Theory — Deci & Ryan,Human Development / Consciousness / Psychology,Individual / Organization / Community,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,1,0,1,2,2,2,2,1,1,0,1,1,0,0,1,1,2,0,1,0,0,0,
Inner Development Goals (IDGs),Human Development / Consciousness / Psychology,Individual / Organization / Society (Bridging inne,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,2,2,1,2,1,0,0,1,1,1,0,0,2,2,1,2,2,2,2,
