worldchanging_topic,elysium_foundation,elysium_facet,coverage
Questioning consumption,AGENTIVITÉ,Économie,✅ Full
Consuming responsibly,CONSCIENCE,Éthique,✅ Full
Understanding trade,AGENTIVITÉ,Économie,✅ Full
Creating healthy homes,FOUNDATION,Habitat,✅ Full
Doing the right thing can be delicious,VITALITÉ,Alimentation,✅ Full
Buying better food everywhere,VITALITÉ,Alimentation,✅ Full
Eating better meat and fish,VITALITÉ,Alimentation,✅ Full
Preserving barnyard biodiversity,VITALITÉ,Biodiversité,✅ Full
Cars and fuel,FOUNDATION,Mobilité + Énergie,✅ Full
Bright green consumerism,AGENTIVITÉ,Économie,✅ Full
Designing a sustainable world,AGENTIVITÉ,Innovation,✅ Full
Picking green materials,FOUNDATION,Matériaux,✅ Full
Craft it yourself,AGENTIVITÉ,Production,✅ Full
Engineer it yourself,AGENTIVITÉ,Production,✅ Full
Art meets technology,COHÉSION,Art,✅ Full
Biomimicry,VITALITÉ,Régénération,✅ Full
Nanotechnology,VISION,Technologie,✅ Full
Neobiological industry,AGENTIVITÉ,Innovation,✅ Full
Knowing what's green,VISION,Éducation,✅ Full
Producer responsibility,GOUVERNANCE,Institutions,✅ Full
Collaborative design,AGENTIVITÉ,Innovation,✅ Full
Open source,AGENTIVITÉ,Innovation,✅ Full
Design for development,AGENTIVITÉ,Innovation,✅ Full
Bright green computers,VISION,Technologie,✅ Full
Green remodeling,FOUNDATION,Habitat,✅ Full
Building a green home,FOUNDATION,Habitat,✅ Full
Living well in a compact space,FOUNDATION,Habitat,✅ Full
Developing green housing,FOUNDATION,Habitat,✅ Full
Furniture and home decor,FOUNDATION,Habitat,✅ Full
Lighting,FOUNDATION,Énergie,✅ Full
Energy,FOUNDATION,Énergie,✅ Full
Using energy efficiently,FOUNDATION,Énergie,✅ Full
Green power,FOUNDATION,Énergie,✅ Full
Going off the grid,FOUNDATION,Énergie,✅ Full
Smart grids,FOUNDATION,Infrastructure,✅ Full
Water,FOUNDATION,Eau,✅ Full
Conserving water,FOUNDATION,Eau,✅ Full
Thinking differently about water,FOUNDATION,Eau,✅ Full
Landscaping,VITALITÉ,Écosystèmes,✅ Full
EcoHouse Brazil,FOUNDATION,Habitat,✅ Full
Refugees,GOUVERNANCE,Sécurité,✅ Full
Reinventing the refugee camp,GOUVERNANCE,Sécurité,✅ Full
Transforming disaster relief,GOUVERNANCE,Sécurité,✅ Full
Open-source humanitarian design,AGENTIVITÉ,Innovation,✅ Full
Land mines,GOUVERNANCE,Sécurité,✅ Full
Rethinking refugee reconstruction,GOUVERNANCE,Institutions,✅ Full
The bright green city,FOUNDATION,Infrastructure,✅ Full
Vancouver / Portland,FOUNDATION,Infrastructure,✅ Full
Retrofitting the suburbs,FOUNDATION,Habitat,✅ Full
Big green buildings,FOUNDATION,Habitat,✅ Full
Healing polluted land,VITALITÉ,Régénération,✅ Full
Greening infrastructure,FOUNDATION,Infrastructure,✅ Full
Place-making,COHÉSION,Communauté,✅ Full
Urban transportation,FOUNDATION,Mobilité,✅ Full
Product-service systems,AGENTIVITÉ,Innovation,✅ Full
